id,age,city
1,1,San Isidro
2,2,Vrbice
3,3,Rakhmanovo
4,4,Lubenec
5,5,Rodópoli
6,6,Fort Worth
7,7,Misheronskiy
8,8,Bouca
9,9,Datarsitu
10,10,Tibillo
11,11,Iksha
12,12,Cabuyao
13,13,Wanzu
14,14,Hagonoy
15,15,Kouvarás
16,16,Bulumulyo
17,17,Longtang
18,18,Evxinoúpolis
19,19,San Isidro
20,20,Dobra
21,21,Karangagung Timur
22,22,Taipingxu
23,23,Mikstat
24,24,Godong
25,25,Oksa
26,26,Orlando
27,27,Tubo
28,28,Marčelji
29,29,São Torcato
30,30,Hoorn
31,31,Anding
32,32,Крива Паланка
33,33,Buenavista
34,34,Libuganon
35,35,Pacajus
36,36,Nepalgunj
37,37,Támara
38,38,Putrajaya
39,39,Jieheshi
40,40,Kajuru
41,41,Huanggong
42,42,Pacucha
43,43,Xuelu
44,44,Batulawang
45,45,Orléans
46,46,Wolin
47,47,Gaoyan
48,48,Neftegorsk
49,49,El Bálsamo
50,50,Ambatolaona
51,51,Mutis
52,52,Ābdānān
53,53,Bhāndāria
54,54,Gejiu
55,55,Rudo
56,56,Fushun
57,57,Gerelayang
58,58,Barra do Corda
59,59,Jinzhou
60,60,Sizao
61,61,Cucuyagua
62,62,Kasoa
63,63,Malati
64,64,Chivor
65,65,Jiangtun
66,66,Sedlčany
67,67,Kahrīz
68,68,Kujang
69,69,Tankhoy
70,70,Sumusţā as Sulţānī
71,71,Rotterdam
72,72,Pueblo Nuevo
73,73,Nizhnevartovsk
74,74,Hanbin
75,75,Sida
76,76,Pickering
77,77,Ondores
78,78,Omiš
79,79,Thị Trấn Mù Cang Chải
80,80,Phú Khương
81,81,Washington
82,82,Tala
83,83,Sanjiang
84,84,Matagalpa
85,85,Santo Tomé
86,86,Circasia
87,87,Ronneby
88,88,Cangkuang
89,89,Zengtian
90,90,Fougamou
91,91,Jiaohu
92,92,Batgrām
93,93,Xinyang
94,94,Kaduheuleut
95,95,Tashtagol
96,96,Menlou’ao
97,97,Moyogalpa
98,98,Le Tampon
99,99,Krajan
100,100,Al Mawşil al Jadīdah
101,101,Jalālpur
102,102,Puan
103,103,Kalisari
104,104,La Cruz de Taratara
105,105,Jinkou
106,106,Sanguinheira
107,107,Sunampe
108,108,El Banco
109,109,Milanów
110,110,Itajubá
111,111,Nong Bun Nak
112,112,Písečná
113,113,Kudirkos Naumiestis
114,114,Toulouse
115,115,Trenggulunan
116,116,Airmata
117,117,Marigot
118,118,Viitasaari
119,119,Sydney
120,120,Boituva
121,121,Bayanhoshuu
122,122,Mahuta
123,123,Vityazevo
124,124,Qila Saifullāh
125,125,Sumberpandan
126,126,Cabo
127,127,Blagodatnoye
128,128,Jixin
129,129,Bunia
130,130,Bontang
131,131,Guisser
132,132,Ar Rawḑah
133,133,Rumphi
134,134,Krasnodar
135,135,Nanyang
136,136,Mankono
137,137,Bungkal
138,138,Kinloch
139,139,Buenos Aires
140,140,Sentul
